Designator	Mid X	Mid Y	Rotation	Layer
C1	-4.4375	1.0625	90.0	top
C10	-9.125	13.25	180.0	top
C11	3.375	11.625	180.0	top
C12	-6.25	-11.3125	180.0	top
C13	-9.125	17.375	180.0	top
C14	-9.125	15.3125	180.0	top
C15	2.125	-4.1875	0.0	top
C16	-2.125	-4.125	180.0	top
C17	2.125	-5.125	0.0	top
C18	5.625	-17.25	270.0	top
C19	-3.375	11.625	0.0	top
C2	-2.125	-5.0625	180.0	top
C20	6.9375	6.25	180.0	top
C21	7.1875	0.999991	90.0	top
C22	-5.5625	-17.25	270.0	top
C23	-7.0625	6.25	0.0	top
C24	-3.9375	5.124998	0.0	top
C25	-12.5	-7.625	180.0	top
C26	2.125	-3.25	180.0	top
C27	-3.9375	6.374998	180.0	top
C28	-6.0625	11.625	180.0	top
C29	-3.9375	3.3125	180.0	top
C3	12.875	-9.6875	0.0	top
C30	-6.0625	8.625	180.0	top
C31	8.125	1.0	90.0	top
C32	-3.9375	4.1875	180.0	top
C33	6.0625	11.625	0.0	top
C34	-7.6875	-6.625	180.0	top
C35	-7.6875	-8.5	180.0	top
C36	6.0625	8.625	0.0	top
C4	13.1875	-1.25	90.0	top
C40	4.375	4.5625	180.0	top
C5	9.125	15.3125	0.0	top
C6	13.1875	1.0	90.0	top
C7	9.0625	0.999991	270.0	top
C8	9.125	17.375	0.0	top
C9	9.125	13.25	0.0	top
D2	-13.25	-4.8125	90.0	top
D4	-8.5	-14.3125	180.0	top
D5	-11.0	9.0	270.0	top
D6	0.0	-4.5	90.0	top
D7	8.5	-14.25	180.0	top
D8	11.0	9.0	270.0	top
F1	-10.1875	3.5625	0.0	top
IC1	8.5	-5.125009	180.0	top
J1	13.75	6.5	90.0	top
J2	-13.75	6.5	270.0	top
J3	0.0	-15.875	0.0	top
J4	0.0	13.75	0.0	top
J5	-14.875	-4.375	90.0	top
J6	14.875	-0.875	270.0	top
J7	14.875	-7.375	270.0	top
J8	0.0	-16.25	0.0	bottom
J9	0.0	-8.0	270.0	top
L1	-10.4375	-4.9375	270.0	top
Q1	-6.6875	-4.25	180.0	top
R1	-12.75	0.5	180.0	top
R10	-10.875	-11.5625	180.0	top
R11	-4.75	10.125	180.0	top
R12	4.75	10.125	0.0	top
R13	11.5	-14.25	90.0	top
R14	3.5625	3.5625	0.0	top
R15	-2.125	-3.1875	180.0	top
R16	16.125	11.25	0.0	top
R17	-8.75	0.25	180.0	top
R18	-8.75	-2.0	180.0	top
R19	-8.75	1.5	180.0	top
R2	-12.75	-2.0	180.0	top
R20	-6.125	0.25	0.0	top
R21	-6.125	-1.8125	0.0	top
R22	-6.125	-0.75	0.0	top
R23	-2.25	-11.0	0.0	top
R24	13.625	-10.625	180.0	top
R25	7.6875	4.1875	90.0	top
R26	-12.75	1.5	180.0	top
R27	-6.125	1.3125	0.0	top
R28	11.625	-10.625	0.0	top
R29	-5.5625	-14.25	270.0	top
R3	-12.75	-1.0	180.0	top
R30	13.625	-11.5625	180.0	top
R31	11.625	-11.5625	0.0	top
R32	-4.75	-5.125	180.0	top
R33	-4.75	-3.375	0.0	top
R34	-6.3125	3.9375	90.0	top
R35	-8.75	-0.75	180.0	top
R36	4.5	1.0	270.0	top
R37	5.5625	-14.25	270.0	top
R4	2.25	-11.0	180.0	top
R5	13.6875	11.25	0.0	top
R6	6.25	0.999991	90.0	top
R7	-9.1875	-10.875	90.0	top
R8	16.125	-11.5625	0.0	top
R9	-12.875	-11.5625	180.0	top
SW1	-9.125	-17.125	0.0	top
SW2	9.125	-17.125	0.0	top
U1	0.0	6.25	270.0	top
U10	-10.875	-0.25	90.0	top
U2	0.0	-0.0	90.0	top
U4	-5.75	-7.5625	0.0	top
U5	0.0	-11.5	0.0	top
U8	7.0	-11.25	270.0	top
U9	-11.875	-9.625	270.0	top
Y1	11.125	1.9375	90.0	top
